Unnamed: 0,ano,id_municipio,id_escola,localizacao,rede,atu_ei,atu_ef,atu_ef_anos_iniciais,atu_ef_anos_finais,atu_em,had_ei,had_ef,had_ef_anos_iniciais,had_ef_anos_finais,had_em,tdi_ef,tdi_ef_anos_iniciais,tdi_ef_anos_finais,tdi_em,taxa_aprovacao_ef,taxa_aprovacao_ef_anos_iniciais,taxa_aprovacao_ef_anos_finais,taxa_aprovacao_em,taxa_reprovacao_ef,taxa_reprovacao_ef_anos_iniciais,taxa_reprovacao_ef_anos_finais,taxa_reprovacao_em,taxa_abandono_ef,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais,taxa_abandono_em,dsu_ei,dsu_ef,dsu_ef_anos_iniciais,dsu_ef_anos_finais,dsu_em
3100972,2018,2703304.0,27001873.0,rural,municipal,10.0,18.5,,,,4.5,,,,,13.5,13.5,,,88.5,88.5,,,11.5,11.5,,,0.0,0.0,,,100.0,50.0,,50.0,
3100973,2018,3136207.0,31103462.0,urbana,estadual,,22.1,23.5,,,,4.2,4.2,,,0.6,0.6,,,100.0,100.0,,,0.0,0.0,,,0.0,0.0,,,,90.0,88.9,100.0,
3100974,2018,2901809.0,29048222.0,rural,municipal,8.0,9.0,,,,,,,,,11.1,11.1,,,93.3,93.3,,,0.0,0.0,,,6.7,6.7,,,100.0,50.0,,50.0,
3100975,2018,2312908.0,23025301.0,urbana,municipal,20.0,23.6,22.3,26.4,,4.0,4.0,4.0,4.0,,1.8,1.4,2.3,,99.1,99.6,98.5,,0.9,0.4,1.5,,0.0,0.0,0.0,,100.0,78.6,90.9,70.6,
3100976,2018,1502939.0,15117251.0,rural,municipal,8.0,21.5,,,,4.0,,,,,27.9,9.5,45.5,,81.0,95.7,63.2,,14.3,0.0,31.6,,4.7,4.3,5.2,,100.0,100.0,,100.0,
3100977,2018,2919801.0,29208530.0,rural,municipal,10.0,14.9,12.7,15.8,,4.0,4.2,4.0,4.3,,28.6,10.7,44.4,,97.5,98.2,96.8,,2.5,1.8,3.2,,0.0,0.0,0.0,,66.7,81.8,100.0,75.0,
3100978,2018,3106200.0,31224111.0,urbana,municipal,20.0,23.8,20.8,29.0,,4.5,4.5,4.5,4.5,,12.2,7.6,18.1,,92.9,95.2,90.1,,6.9,4.8,9.5,,0.2,0.0,0.4,,80.0,100.0,100.0,100.0,
3100979,2018,4318200.0,43135129.0,urbana,privada,5.0,9.1,10.0,8.0,10.0,4.4,4.4,4.4,4.4,4.4,2.4,2.0,3.1,6.7,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1,78.9,62.5,80.0,76.9
3100980,2018,3509502.0,35201108.0,urbana,municipal,,26.8,26.8,26.8,,,8.0,8.0,8.0,,6.3,2.5,13.6,,98.0,98.8,96.6,,2.0,1.2,3.4,,0.0,0.0,0.0,,,97.7,96.3,100.0,
3100981,2018,3118601.0,31014087.0,urbana,privada,,33.0,32.8,33.2,36.0,,4.5,4.5,4.5,5.3,2.3,1.3,3.7,8.3,98.0,99.0,96.5,92.8,2.0,1.0,3.5,7.2,0.0,0.0,0.0,0.0,,100.0,100.0,100.0,100.0
3100982,2018,2919207.0,29726620.0,urbana,privada,15.0,17.9,19.0,16.0,,4.0,4.4,4.3,4.5,,6.3,5.3,8.3,,97.1,98.9,93.5,,2.9,1.1,6.5,,0.0,0.0,0.0,,50.0,66.7,55.6,70.0,
3100983,2018,3138351.0,31312681.0,rural,municipal,17.3,17.9,15.7,21.8,,3.7,4.3,4.3,4.4,,6.1,0.9,12.6,,97.0,100.0,93.3,,3.0,0.0,6.7,,0.0,0.0,0.0,,100.0,100.0,100.0,100.0,
3100984,2018,4117057.0,41103106.0,rural,estadual,9.0,5.4,5.2,5.8,6.0,4.3,4.3,4.3,4.3,4.3,18.4,7.7,30.4,55.6,94.0,100.0,88.0,82.4,6.0,0.0,12.0,17.6,0.0,0.0,0.0,0.0,60.0,68.8,60.0,77.8,76.9
3100985,2018,2933307.0,29452414.0,urbana,privada,,20.1,18.5,23.0,,,4.2,4.0,4.5,,14.0,12.0,16.8,,90.0,98.8,77.8,,8.8,1.2,19.4,,1.2,0.0,2.8,,,36.4,16.7,50.0,
3100986,2018,3200409.0,32042914.0,urbana,municipal,13.5,12.8,10.3,13.3,,4.3,4.3,4.3,4.3,,30.5,8.3,40.6,,70.2,94.0,58.4,,29.8,6.0,41.6,,0.0,0.0,0.0,,100.0,100.0,100.0,100.0,
3100987,2018,3543402.0,35158380.0,urbana,privada,15.6,21.3,22.2,20.0,,4.5,4.5,4.5,4.5,,3.6,1.4,7.1,,98.6,99.1,97.8,,1.4,0.9,2.2,,0.0,0.0,0.0,,70.0,95.2,100.0,88.9,
3100988,2018,4202008.0,42070023.0,urbana,municipal,,19.6,20.0,19.0,,,4.0,4.0,4.0,,4.5,4.0,5.3,,97.6,98.9,95.9,,2.4,1.1,4.1,,0.0,0.0,0.0,,,100.0,100.0,100.0,
3100989,2018,2601904.0,26051648.0,urbana,privada,19.3,33.0,30.6,36.4,44.3,4.3,4.8,4.5,5.3,5.3,2.0,2.8,1.1,3.8,99.0,99.1,98.9,94.7,1.0,0.9,1.1,3.8,0.0,0.0,0.0,1.5,58.3,83.3,66.7,90.5,81.3
3100990,2018,3138351.0,31024538.0,urbana,estadual,,21.0,20.0,21.3,31.6,,4.4,4.3,4.4,4.3,8.6,5.0,9.4,30.3,99.0,100.0,98.8,85.8,1.0,0.0,1.2,7.3,0.0,0.0,0.0,6.9,,93.3,100.0,92.9,88.9
3100991,2018,1301704.0,13050400.0,urbana,municipal,,26.6,27.3,25.0,,,4.0,4.0,4.0,,5.8,4.0,10.5,,93.2,94.3,90.0,,6.7,5.5,10.0,,0.1,0.2,0.0,,,96.2,100.0,91.7,
3100992,2018,1504802.0,15555194.0,rural,municipal,17.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,100.0,,,,
3100993,2018,1721000.0,17063205.0,urbana,privada,22.3,,,,,10.0,,,,,,,,,,,,,,,,,,,,,50.0,,,,
3100994,2018,2111078.0,21424209.0,rural,estadual,,,,,36.9,,,,,3.8,,,,67.5,,,,88.3,,,,3.8,,,,7.9,,,,,94.4
3100995,2018,2306553.0,23268158.0,urbana,municipal,20.2,,,,,4.9,,,,,,,,,,,,,,,,,,,,,81.8,,,,
3100996,2018,2312700.0,23183390.0,rural,municipal,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
3100997,2018,2414407.0,24079952.0,urbana,privada,23.8,,,,,4.4,,,,,,,,,,,,,,,,,,,,,100.0,,,,
3100998,2018,2500577.0,25057782.0,urbana,municipal,17.4,,,,,4.7,,,,,,,,,,,,,,,,,,,,,80.0,,,,
3100999,2018,2508703.0,25020153.0,rural,municipal,13.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,100.0,,,,
3101000,2018,2807204.0,28014960.0,urbana,municipal,17.3,,,,,4.0,,,,,,,,,,,,,,,,,,,,,100.0,,,,
3101001,2018,2905404.0,29285674.0,rural,municipal,12.8,,,,,5.7,,,,,,,,,,,,,,,,,,,,,50.0,,,,
3101002,2018,2911709.0,29243920.0,urbana,estadual,,,,,27.4,,,,,4.5,,,,33.5,,,,92.4,,,,4.5,,,,3.1,,,,,91.8
3101003,2018,3107406.0,31036480.0,urbana,municipal,17.4,,,,,4.2,,,,,,,,,,,,,,,,,,,,,89.5,,,,
3101004,2018,3124104.0,31276669.0,urbana,privada,8.8,,,,,4.0,,,,,,,,,,,,,,,,,,,,,100.0,,,,
3101005,2018,3128709.0,31240443.0,urbana,privada,,,,,14.0,,,,,5.3,,,,14.3,,,,92.9,,,,7.1,,,,0.0,,,,,100.0
3101006,2018,3304557.0,33163006.0,urbana,privada,,,,,19.3,,,,,5.3,,,,10.3,,,,100.0,,,,0.0,,,,0.0,,,,,76.9
3101007,2018,3304557.0,33181829.0,urbana,privada,10.0,,,,,4.4,,,,,,,,,,,,,,,,,,,,,75.0,,,,
3101008,2018,3526704.0,35479755.0,urbana,municipal,13.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,60.0,,,,
3101009,2018,3547809.0,35812110.0,urbana,privada,7.1,,,,,5.3,,,,,,,,,,,,,,,,,,,,,20.0,,,,
3101010,2018,3550001.0,35057101.0,urbana,municipal,17.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,95.7,,,,
3101011,2018,3550308.0,35001417.0,urbana,estadual,,,,,21.8,,,,,9.0,,,,6.9,,,,100.0,,,,0.0,,,,0.0,,,,,100.0
3101012,2018,3550308.0,35004533.0,urbana,privada,10.5,,,,,4.0,,,,,,,,,,,,,,,,,,,,,100.0,,,,
3101013,2018,3550308.0,35293970.0,urbana,privada,13.7,,,,,11.8,,,,,,,,,,,,,,,,,,,,,0.0,,,,
3101014,2018,4115200.0,41144830.0,urbana,municipal,24.3,,,,,8.5,,,,,,,,,,,,,,,,,,,,,75.0,,,,
3101015,2018,4126256.0,41149890.0,urbana,municipal,23.6,,,,,7.3,,,,,,,,,,,,,,,,,,,,,76.5,,,,
3101016,2018,4204707.0,42112818.0,urbana,municipal,16.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,80.0,,,,
3101017,2018,4302105.0,43023355.0,urbana,estadual,,,,,25.3,,,,,4.8,,,,33.7,,,,63.3,,,,25.3,,,,11.4,,,,,80.6
3101018,2018,4306403.0,43192114.0,urbana,privada,11.3,,,,,11.7,,,,,,,,,,,,,,,,,,,,,72.7,,,,
3101019,2018,4314902.0,43108938.0,urbana,privada,8.3,,,,,11.5,,,,,,,,,,,,,,,,,,,,,57.1,,,,
3101020,2018,4314902.0,43188443.0,urbana,privada,7.8,,,,,12.0,,,,,,,,,,,,,,,,,,,,,16.7,,,,
3101021,2018,5002704.0,50033107.0,urbana,privada,5.5,,,,,4.9,,,,,,,,,,,,,,,,,,,,,50.0,,,,
3101022,2018,5208707.0,52087697.0,urbana,municipal,14.3,,,,,10.5,,,,,,,,,,,,,,,,,,,,,100.0,,,,
3101023,2018,5300108.0,53015380.0,urbana,federal,,,,,35.2,,,,,5.7,,,,15.8,,,,89.9,,,,9.7,,,,0.4,,,,,100.0
3101024,2018,2910800.0,29097681.0,rural,municipal,10.7,19.0,19.0,,,4.0,7.9,7.9,,,25.3,25.3,,,92.4,92.4,,,4.3,4.3,,,3.3,3.3,,,40.0,55.6,55.6,,
3101025,2018,2918100.0,29112745.0,urbana,municipal,29.0,18.0,18.0,,,4.0,4.0,4.0,,,32.2,32.2,,,80.0,80.0,,,13.3,13.3,,,6.7,6.7,,,100.0,75.0,75.0,,
3101026,2018,2927408.0,29384583.0,urbana,municipal,19.2,20.3,20.3,,,4.0,4.0,4.0,,,22.8,22.8,,,95.6,95.6,,,3.8,3.8,,,0.6,0.6,,,100.0,100.0,100.0,,
3101027,2018,3523107.0,35069516.0,urbana,municipal,,29.9,29.9,,,,4.0,4.0,,,2.6,2.6,,,99.8,99.8,,,0.2,0.2,,,0.0,0.0,,,,89.5,89.5,,
3101028,2018,5201405.0,52101223.0,urbana,municipal,,28.5,28.5,,,,4.3,4.3,,,5.4,5.4,,,97.9,97.9,,,0.5,0.5,,,1.6,1.6,,,,96.0,96.0,,
3101029,2018,2603702.0,26167689.0,urbana,privada,14.9,17.8,17.8,,,3.9,4.2,4.2,,,6.6,6.6,,,98.5,98.5,,,1.5,1.5,,,0.0,0.0,,,40.0,72.7,72.7,,
3101030,2018,4217105.0,42094402.0,urbana,municipal,,6.5,6.5,,,,4.0,4.0,,,23.1,23.1,,,100.0,100.0,,,0.0,0.0,,,0.0,0.0,,,,60.0,60.0,,
